Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Poireau,Legume,Commun,Unitaire,186,50,61.0,1.5,14.2,0.3,1.8,15
Pois chiche,Legume,Commun,Petit,8,50,364.0,19.3,61.0,6.0,17.4,28
Poisson blanc,Poisson,Commun,,150,100,86.0,18.3,0.0,1.0,0.0,0
Poivron,Legume,Commun,Unitaire,100,120,31.0,1.0,6.0,0.3,2.1,15
Pomelo,Fruit,Commun,Unitaire,100,230,42.0,0.8,10.7,0.1,1.6,25
Pomme,Fruit,Commun,Unitaire,150,150,52.0,0.3,13.8,0.2,2.4,35
Pomme de terre,Feculent,Commun,Unitaire,120,130,77.0,2.0,17.0,0.1,2.2,85
Potiron,Legume,Commun,Unitaire,900,1000,30.0,1.0,7.0,0.1,0.5,75
Poulet,Viande,Commun,,100,150,239.0,27.3,0.0,13.6,0.0,0
Prune,Fruit,Commun,Unitaire,2,50,46.0,0.7,11.4,0.3,1.4,35
Quinoa,Feculent,Rare,Petit,10,50,368.0,14.1,64.2,6.1,7.0,35
Radis,Legume,Commun,Petit,30,5,16.0,0.7,3.4,0.1,1.6,15
Raifort,Legume,Rare,Unitaire,20,5,48.0,1.2,11.3,0.7,3.3,0
Raisin,Fruit,Commun,Petit,170,5,69.0,0.7,18.1,0.2,0.9,45
Rhubarbe,Legume,Rare,,245,50,21.0,0.9,4.5,0.2,1.8,15
Rhum,Alcool,Commun,Liquide,100,100,231.0,0.0,0.0,0.0,0.0,0
Riz,Feculent,Commun,Petit,5,200,"115,0","2,5","25,6","0,3","0,4",70
Roquette,Legume,Commun,,28,30,25.0,2.6,3.7,0.7,1.6,15
Sardine,Poisson,Commun,,25,100,208.0,24.6,0.0,11.5,0.0,0
Sarrasin,Feculent,Rare,Petit,110,50,343.0,13.0,72.0,3.0,10.0,50
Saucisson sec,Charcuterie,Commun,Unitaire,50,30,455.0,28.0,1.5,38.0,0.0,0
Sauge,Legume,Rare,,16,5,315.0,10.6,60.7,12.8,40.3,0
Saumon,Poisson,Commun,,130,150,206.0,22.1,0.0,12.4,0.0,0
Seiche,Crustace,Rare,,28,100,79.0,15.6,3.1,1.4,0.0,0
Semoule,Feculent,Commun,Petit,2,2,360.0,12.7,73.0,1.2,3.9,60
Graines de Sésame,Oleagineux,Commun,Petit,15,50,573.0,17.7,23.5,49.7,11.8,0
Snickers,Snack,Commun,Unitaire,100,50,488.0,8.7,55.6,24.4,2.4,0
Soja,Legume,Commun,,28,50,446.0,36.5,30.2,19.9,9.3,15
Sole,Poisson,Rare,,89,100,83.0,16.5,0.0,1.4,0.0,0
